uid, start, end, summary, description, location
CSVConvert82d672a3df443d8ff4d9a1ff6a537419,"05 August 2012 02:00:00 PM -0500","05 August 2012 03:00:00 PM -0500","Basketball: WOMEN - Preliminaries (2 games)","","Basketball Arena, Olympic Park, Stratford, London"
CSVConvert80b43601a326153a6a4f611067dd1000,"05 August 2012 08:30:00 AM -0500","05 August 2012 12:30:00 PM -0500","Basketball: WOMEN - Preliminaries (2 games)","","Basketball Arena, Olympic Park, Stratford, London"
CSVConvertf0e9c472c3f38985a1f85df574cb9238,"04 August 2012 08:30:00 AM -0500","04 August 2012 12:30:00 PM -0500","Basketball: MEN - Preliminaries (2 games)","","Basketball Arena, Olympic Park, Stratford, London"
CSVConverte17335b53263ff48ffd93a7f183ef236,"06 August 2012 03:00:00 AM -0500","06 August 2012 07:00:00 AM -0500","Basketball: MEN - Preliminaries (2 games)","","Basketball Arena, Olympic Park, Stratford, London"
CSVConvert9a7026c8c15866631512861407e659ca,"04 August 2012 03:00:00 AM -0500","04 August 2012 07:00:00 AM -0500","Basketball: MEN - Preliminaries (2 games)","","Basketball Arena, Olympic Park, Stratford, London"
CSVConvert2288d796bf2bb861079f3f8b18171ca7,"04 August 2012 02:00:00 PM -0500","04 August 2012 03:00:00 PM -0500","Basketball: MEN - Preliminaries (2 games)","","Basketball Arena, Olympic Park, Stratford, London"
CSVConverte424758db40a0a0fa5e484aeab9eaef2,"04 August 2012 07:30:00 AM -0500","04 August 2012 11:00:00 AM -0500","Badminton: WOMEN - Singles: bronze medal match, gold medal match, victory ceremony. Doubles: gold medal match, victory ceremony","","Wembley Arena, London"
CSVConverta876d00a67dcacbb0d171044ac7130d3,"05 August 2012 07:00:00 AM -0500","05 August 2012 10:00:00 AM -0500","Badminton: MEN - Singles: gold medal match, victory ceremony. Doubles: gold medal match, victory ceremony","","Wembley Arena, London"
CSVConvertf259dfb4795bf8a2c5499a03b333dec1,"05 August 2012 03:00:00 AM -0500","05 August 2012 05:00:00 AM -0500","Badminton: MEN - Singles: bronze medal match. Doubles: bronze medal match","","Wembley Arena, London"
CSVConvertba5552b1d405a067f15bfb7de66f5450,"04 August 2012 03:00:00 AM -0500","04 August 2012 06:00:00 AM -0500","Badminton: MEN - Doubles: semi-finals. WOMEN - Doubles: bronze medal match","","Wembley Arena, London"
CSVConvert0a1a285e701da9e4cc3949e94d948ea7,"05 August 2012 05:00:00 AM -0500","05 August 2012 08:00:00 AM -0500","Athletics: Women's Marathon","","The Mall, London"
CSVConvertddc49d6a327912a71e9fb1054f96e341,"05 August 2012 12:50:00 PM -0500","05 August 2012 03:55:00 PM -0500","Athletics: MEN: 100m: semi-finals, final.  400m: semi-finals. 1500m: semi-finals.  3000m Steeplechase: final. 10,000m: victory ceremony.  High Jump: qualifying. Long Jump: victory ceremony.  Hammer: final WOMEN - 100m: victory ceremony.  400m: final, victory ceremony. 400m Hurdles: round1. Triple Jump: final, victory ceremony. Marathon: victory ceremony.","","Olympic Stadium, Stratford, London"
CSVConvert75c7bec95c72663c35f29ba1583cb65b,"06 August 2012 04:00:00 AM -0500","06 August 2012 06:20:00 AM -0500","Athletics: MEN - 800m: round 1.  Discus: qualifying. WOMEN - 100m Hurdles: round 1.  1500m: round 1. Shot Put: qualifying.","","Olympic Stadium, Stratford, London"
CSVConvertdabb5b3b376eb7086b8ad86cba6fde33,"04 August 2012 12:50:00 PM -0500","04 August 2012 04:05:00 PM -0500","Athletics: MEN - 400m Hurdles: semi-finals.  10,000m: final. LongJump: final.  Shot Put: victory ceremony. 20km Race Walk: victory ceremony. WOMEN - 100m: semi-finals, final.  400m: semi-finals. 10,000m: victory ceremony. Discus: final, victory ceremony. Heptathlon: 800m, victory ceremony.","","Olympic Stadium, Stratford, London"
